NUMERA_VENTANA;ORDENACION;COD_ART;DES_ART;LONGITUD;ANCHO;ALTO;ANG_INI;ANG_FIN;X_INI;Y_INI;Z_INI;X_FIN;Y_FIN;Z_FIN;TIPO_PERFIL;TIPO_VIDRIO;ESPESOR_VIDRIO;AP_EXTERIOR;PALETA_INTERIOR;PALETA_EXTERIOR;PATRON_INTERIOR_HOR;PATRON_EXTERIOR_HOR;PATRON_INTERIOR_VER;PATRON_EXTERIOR_VER;;TIENE_MANILLA;TIPO_MANILLA;COTA_MANILLA;TEXTURA_BORDE
1;1;HO1221;Marco de 68mm, 5 camaras con junta coex;1000.0;0.0;0.0;45.0;45.0;0.0;0.0;0.0;1000.0;0.0;0.0;2;0;0;0;16777215;16777215;;;;;;0;0;0.0;Textura1.jpeg
1;2;HO1221;Marco de 68mm, 5 camaras con junta coex;1000.0;0.0;0.0;45.0;45.0;1000.0;0.0;0.0;1000.0;1000.0;0.0;2;0;0;0;16777215;16777215;;;;;;0;0;0.0;
1;3;HO1221;Marco de 68mm, 5 camaras con junta coex;1000.0;0.0;0.0;45.0;45.0;1000.0;1000.0;0.0;0.0;1000.0;0.0;2;0;0;0;16777215;16777215;;;;;;0;0;0.0;
1;4;HO1221;Marco de 68mm, 5 camaras con junta coex;1000.0;0.0;0.0;45.0;45.0;0.0;1000.0;0.0;0.0;0.0;0.0;2;0;0;0;16777215;16777215;;;;;;0;0;0.0;
1;5;GP1240;Junquillo 28mm inclinado con junta, pce, 28mm;908.0;0.0;0.0;45.0;45.0;46.0;46.0;73.0;954.0;46.0;73.0;300;0;0;0;16777215;16777215;;;;;;0;0;0.0;Textura1.jpeg
1;6;GP1240;Junquillo 28mm inclinado con junta, pce, 28mm;908.0;0.0;0.0;45.0;45.0;954.0;46.0;73.0;954.0;954.0;73.0;300;0;0;0;16777215;16777215;;;;;;0;0;0.0;
1;7;GP1240;Junquillo 28mm inclinado con junta, pce, 28mm;908.0;0.0;0.0;45.0;45.0;954.0;954.0;73.0;46.0;954.0;73.0;300;0;0;0;16777215;16777215;;;;;;0;0;0.0;
1;8;GP1240;Junquillo 28mm inclinado con junta, pce, 28mm;908.0;0.0;0.0;45.0;45.0;46.0;954.0;73.0;46.0;46.0;73.0;300;0;0;0;16777215;16777215;;;;;;0;1;774.0;
1;9;SINVIDRIO24mm;SIN VIDRIO 24MM;0.0;896.0;896.0;0.0;0.0;46.0;46.0;21.0;954.0;954.0;45.0;0;101;24;0;4227327;4227327;S:\Clientes Remotos\hetmo\impreso.bmp;S:\Clientes Remotos\hetmo\impreso.bmp;S:\Clientes Remotos\hetmo\impreso.bmp;S:\Clientes Remotos\hetmo\impreso.bmp;;0;0;0.0;
